NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,67
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,51
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,41
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,76
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,33
Greenford Broadway,E05000177,251.66900,0.00000,E09000009,Ealing,116746,71
North Greenford,E05000183,325.73700,0.00000,E09000009,Ealing,71036,28
Northfield,E05000182,154.01100,0.00000,E09000009,Ealing,50524,19
East Acton,E05000175,427.58800,0.00000,E09000009,Ealing,116749,120
Southall Broadway,E05000189,161.72500,0.00000,E09000009,Ealing,51091,72
Elthorne,E05000176,199.96300,0.00000,E09000009,Ealing,51087,50
Walpole,E05000192,146.59600,0.00000,E09000009,Ealing,51112,52
Lady Margaret,E05000181,154.18200,0.00000,E09000009,Ealing,50955,30
Northolt Mandeville,E05000184,275.66400,0.00000,E09000009,Ealing,51013,79
Hobbayne,E05000180,220.93700,0.00000,E09000009,Ealing,51086,14
Cleveland,E05000171,222.85600,0.00000,E09000009,Ealing,50521,32
Greenford Green,E05000178,338.47700,0.00000,E09000009,Ealing,116747,87
Perivale,E05000187,336.77500,0.00000,E09000009,Ealing,51106,69
Ealing Common,E05000174,214.10600,0.00000,E09000009,Ealing,51111,69
Ealing Broadway,E05000173,185.67600,0.00000,E09000009,Ealing,51110,33
South Acton,E05000188,171.92000,0.00000,E09000009,Ealing,51062,56
Southfield,E05000191,142.86900,0.00000,E09000009,Ealing,116748,19
Acton Central,E05000170,177.46300,0.00000,E09000009,Ealing,51060,22
Hanger Hill,E05000179,327.72400,0.00000,E09000009,Ealing,50522,84
Upminster,E05000323,2253.73600,0.00000,E09000016,Havering,116694,29
Rainham and Wennington,E05000318,1688.01000,154.28400,E09000016,Havering,50925,44
South Hornchurch,E05000321,687.31800,56.47900,E09000016,Havering,116695,98
Elm Park,E05000308,366.53500,0.00000,E09000016,Havering,116696,34
Brooklands,E05000306,420.26400,0.00000,E09000016,Havering,116702,73
Romford Town,E05000319,286.47300,0.00000,E09000016,Havering,116703,96
Mawneys,E05000316,304.26100,0.00000,E09000016,Havering,51287,44
Pettits,E05000317,395.45700,0.00000,E09000016,Havering,116708,49
Hacton,E05000311,246.54200,0.00000,E09000016,Havering,116704,18
St. Andrew's,E05000320,267.71200,0.00000,E09000016,Havering,116705,49
Emerson Park,E05000309,464.24300,0.00000,E09000016,Havering,116706,33
Squirrel's Heath,E05000322,265.14700,0.00000,E09000016,Havering,116697,34
Harold Wood,E05000312,758.97300,0.00000,E09000016,Havering,116699,56
Cranham,E05000307,655.50100,0.00000,E09000016,Havering,116707,51
Havering Park,E05000313,978.33000,0.00000,E09000016,Havering,116698,32
Heaton,E05000314,341.56400,0.00000,E09000016,Havering,116700,32
Gooshays,E05000310,775.89600,0.00000,E09000016,Havering,116701,59
Hylands,E05000315,289.77400,0.00000,E09000016,Havering,50930,30
Heathrow Villages,E05000331,2352.11700,0.00000,E09000017,Hillingdon,116716,164
Harefield,E05000330,1522.70400,0.00000,E09000017,Hillingdon,51039,20
West Drayton,E05000342,349.07000,0.00000,E09000017,Hillingdon,116720,32
Yiewsley,E05000345,402.25100,0.00000,E09000017,Hillingdon,116722,45
Uxbridge South,E05000341,311.44700,0.00000,E09000017,Hillingdon,116718,57
Brunel,E05000326,327.69100,0.00000,E09000017,Hillingdon,51033,39
Uxbridge North,E05000340,464.11800,0.00000,E09000017,Hillingdon,51032,54
Hillingdon East,E05000332,359.81200,0.00000,E09000017,Hillingdon,116723,25
Ickenham,E05000333,620.44200,0.00000,E09000017,Hillingdon,51031,31
West Ruislip,E05000343,438.74000,0.00000,E09000017,Hillingdon,51023,22
Northwood,E05000335,739.79400,0.00000,E09000017,Hillingdon,51029,19
South Ruislip,E05000338,741.79500,0.00000,E09000017,Hillingdon,116719,44
Manor,E05000334,197.41800,0.00000,E09000017,Hillingdon,51022,26
Eastcote and East Ruislip,E05000329,406.34100,0.00000,E09000017,Hillingdon,116724,21
Northwood Hills,E05000336,332.85400,0.00000,E09000017,Hillingdon,51028,16
Pinkwell,E05000337,274.83300,0.00000,E09000017,Hillingdon,116721,65
Botwell,E05000325,436.27700,0.00000,E09000017,Hillingdon,116717,51
Charville,E05000328,297.43300,0.00000,E09000017,Hillingdon,51098,18
Townfield,E05000339,349.83300,0.00000,E09000017,Hillingdon,51092,99
Barnhill,E05000324,211.82100,0.00000,E09000017,Hillingdon,51097,43
Yeading,E05000344,232.12600,0.00000,E09000017,Hillingdon,51090,59
Cavendish,E05000327,201.14500,0.00000,E09000017,Hillingdon,51021,14
Roxeth,E05000302,157.49200,0.00000,E09000015,Harrow,51083,20
Harrow on the Hill,E05000289,357.20900,0.00000,E09000015,Harrow,50518,43
Pinner,E05000297,327.74200,0.00000,E09000015,Harrow,51019,15
Pinner South,E05000298,234.56100,0.00000,E09000015,Harrow,51020,14
Greenhill,E05000288,174.49000,0.00000,E09000015,Harrow,51077,58
Headstone North,E05000292,329.63400,0.00000,E09000015,Harrow,51027,32
Marlborough,E05000296,164.66300,0.00000,E09000015,Harrow,51078,20
Harrow Weald,E05000290,458.97300,0.00000,E09000015,Harrow,51015,47
Stanmore Park,E05000303,445.92900,0.00000,E09000015,Harrow,50516,28
Canons,E05000286,562.63200,0.00000,E09000015,Harrow,116972,53
Rayners Lane,E05000300,152.97400,0.00000,E09000015,Harrow,50957,20
Roxbourne,E05000301,150.57600,0.00000,E09000015,Harrow,51082,19
West Harrow,E05000305,151.46200,0.00000,E09000015,Harrow,51026,9
Hatch End,E05000291,327.86600,0.00000,E09000015,Harrow,51014,28
Headstone South,E05000293,146.76400,0.00000,E09000015,Harrow,51080,34
Kenton West,E05000295,176.45600,0.00000,E09000015,Harrow,50514,23
Wealdstone,E05000304,119.59500,0.00000,E09000015,Harrow,51079,18
Belmont,E05000285,177.70400,0.00000,E09000015,Harrow,116973,22
Kenton East,E05000294,127.92600,0.00000,E09000015,Harrow,50511,25
Queensbury,E05000299,161.36400,0.00000,E09000015,Harrow,116974,42
Edgware,E05000287,140.31900,0.00000,E09000015,Harrow,116975,32
Northwick Park,E05000096,267.99100,0.00000,E09000005,Brent,51109,34
Wembley Central,E05000104,160.42400,0.00000,E09000005,Brent,51105,74
Preston,E05000097,238.82800,0.00000,E09000005,Brent,51071,45
Stonebridge,E05000100,405.06300,0.00000,E09000005,Brent,116943,118
Welsh Harp,E05000103,231.89700,0.00000,E09000005,Brent,116949,65
Barnhill,E05000086,297.90800,0.00000,E09000005,Brent,116945,58
Fryent,E05000090,265.93800,0.00000,E09000005,Brent,116950,68
Sudbury,E05000101,212.48000,0.00000,E09000005,Brent,116944,43
Alperton,E05000085,205.85300,0.00000,E09000005,Brent,51069,51
Kensal Green,E05000092,112.00800,0.00000,E09000005,Brent,116951,49
Harlesden,E05000091,111.37000,0.00000,E09000005,Brent,116952,71
Willesden Green,E05000105,154.80300,0.00000,E09000005,Brent,50490,62
Queens Park,E05000098,148.56200,0.00000,E09000005,Brent,116947,27
Brondesbury Park,E05000087,172.94200,0.00000,E09000005,Brent,116953,37
Kilburn,E05000094,94.40000,0.00000,E09000005,Brent,50487,57
Tokyngton,E05000102,275.91700,0.00000,E09000005,Brent,51104,57
Kenton,E05000093,224.31500,0.00000,E09000005,Brent,116946,45
Dudden Hill,E05000089,168.14400,0.00000,E09000005,Brent,116948,36
Dollis Hill,E05000088,229.95600,0.00000,E09000005,Brent,50548,41
Mapesbury,E05000095,139.34700,0.00000,E09000005,Brent,50489,67
Queensbury,E05000099,205.12400,0.00000,E09000005,Brent,50512,45
Underhill,E05000060,455.05300,0.00000,E09000003,Barnet,116789,38
High Barnet,E05000056,830.66600,0.00000,E09000003,Barnet,116787,44
West Hendon,E05000062,342.86500,0.00000,E09000003,Barnet,51065,134
Golders Green,E05000053,297.29200,0.00000,E09000003,Barnet,116790,82
Colindale,E05000046,263.62700,0.00000,E09000003,Barnet,51066,51
Childs Hill,E05000045,309.30100,0.00000,E09000003,Barnet,50578,61
Garden Suburb,E05000052,472.70500,0.00000,E09000003,Barnet,119325,76
Finchley Church End,E05000051,272.56400,0.00000,E09000003,Barnet,116791,52
East Finchley,E05000049,250.98900,0.00000,E09000003,Barnet,50492,36
Edgware,E05000050,555.65200,0.00000,E09000003,Barnet,50509,66
Mill Hill,E05000057,938.92100,0.00000,E09000003,Barnet,116788,76
Hale,E05000054,542.31500,0.00000,E09000003,Barnet,116792,63
Totteridge,E05000059,877.44600,0.00000,E09000003,Barnet,123573,50
Oakleigh,E05000058,331.86100,0.00000,E09000003,Barnet,50501,41
Woodhouse,E05000063,262.11700,0.00000,E09000003,Barnet,116794,53
Coppetts,E05000047,272.05800,0.00000,E09000003,Barnet,116795,57
Brunswick Park,E05000043,317.52600,0.00000,E09000003,Barnet,50500,38
East Barnet,E05000048,374.94300,0.00000,E09000003,Barnet,50507,29
Burnt Oak,E05000044,206.71900,0.00000,E09000003,Barnet,51073,51
Hendon,E05000055,283.87100,0.00000,E09000003,Barnet,50547,91
West Finchley,E05000061,216.34400,0.00000,E09000003,Barnet,116793,58
Streatham South,E05000431,169.80900,0.00000,E09000022,Lambeth,50786,64
St. Leonard's,E05000428,144.77300,0.00000,E09000022,Lambeth,51191,83
Streatham Wells,E05000432,144.97800,0.00000,E09000022,Lambeth,51190,45
Knight's Hill,E05000424,147.16600,0.00000,E09000022,Lambeth,117361,59
Thornton,E05000433,107.75900,0.00000,E09000022,Lambeth,117357,19
Streatham Hill,E05000430,127.06300,0.00000,E09000022,Lambeth,117358,63
Clapham Common,E05000418,133.85400,0.00000,E09000022,Lambeth,51276,73
Brixton Hill,E05000417,113.12400,0.00000,E09000022,Lambeth,117363,80
Tulse Hill,E05000435,103.19500,0.00000,E09000022,Lambeth,117359,47
Coldharbour,E05000420,120.80600,0.00000,E09000022,Lambeth,117364,85
Ferndale,E05000421,85.07300,0.00000,E09000022,Lambeth,50790,74
Larkhall,E05000425,106.12400,0.00000,E09000022,Lambeth,50793,72
Oval,E05000426,127.76400,3.58600,E09000022,Lambeth,117366,126
Vassall,E05000436,112.97300,0.00000,E09000022,Lambeth,51224,68
Gipsy Hill,E05000422,157.06700,0.00000,E09000022,Lambeth,51228,24
Thurlow Park,E05000434,151.48200,0.00000,E09000022,Lambeth,117362,47
Herne Hill,E05000423,203.03800,0.00000,E09000022,Lambeth,117360,69
Bishop's,E05000416,153.95900,30.25800,E09000022,Lambeth,51177,99
Clapham Town,E05000419,111.89300,0.00000,E09000022,Lambeth,50816,63
Stockwell,E05000429,86.67800,0.00000,E09000022,Lambeth,117365,63
Prince's,E05000427,116.36300,10.08300,E09000022,Lambeth,51181,67
College,E05000538,323.32400,0.00000,E09000028,Southwark,51229,45
Riverside,E05000548,132.82200,28.57400,E09000028,Southwark,51236,42
Village,E05000554,278.74500,0.00000,E09000028,Southwark,117345,32
South Camberwell,E05000551,133.14900,0.00000,E09000028,Southwark,117350,12
East Dulwich,E05000539,102.06900,0.00000,E09000028,Southwark,51269,26
Peckham Rye,E05000547,225.24200,0.00000,E09000028,Southwark,117346,19
Camberwell Green,E05000535,97.46100,0.00000,E09000028,Southwark,117353,87
Brunswick Park,E05000534,93.44100,0.00000,E09000028,Southwark,51222,26
The Lane,E05000553,138.88800,0.00000,E09000028,Southwark,117351,78
Nunhead,E05000545,132.84000,0.00000,E09000028,Southwark,117352,41
Peckham,E05000546,86.96600,0.00000,E09000028,Southwark,51170,23
Newington,E05000544,83.35800,0.00000,E09000028,Southwark,51180,47
Faraday,E05000541,87.81500,0.00000,E09000028,Southwark,51169,28
East Walworth,E05000540,114.66200,0.00000,E09000028,Southwark,117348,124
Livesey,E05000543,143.83200,0.00000,E09000028,Southwark,117347,71
South Bermondsey,E05000550,97.36300,0.00000,E09000028,Southwark,51172,35
Cathedrals,E05000536,176.82200,18.58400,E09000028,Southwark,117349,141
Grange,E05000542,121.45300,0.00000,E09000028,Southwark,117354,47
Rotherhithe,E05000549,149.05000,12.96800,E09000028,Southwark,117355,34
Surrey Docks,E05000552,190.06200,45.01300,E09000028,Southwark,50733,3
Chaucer,E05000537,81.97700,0.00000,E09000028,Southwark,50814,47
Bellingham,E05000437,308.47100,0.00000,E09000023,Lewisham,117089,54
Telegraph Hill,E05000453,154.63100,0.00000,E09000023,Lewisham,117094,55
Downham,E05000442,238.17800,0.00000,E09000023,Lewisham,117085,62
Whitefoot,E05000454,223.00400,0.00000,E09000023,Lewisham,117086,29
Blackheath,E05000438,231.82300,0.00000,E09000023,Lewisham,117096,45
Sydenham,E05000452,174.37200,0.00000,E09000023,Lewisham,117087,51
Forest Hill,E05000444,182.78500,0.00000,E09000023,Lewisham,51164,42
Perry Vale,E05000450,168.45000,0.00000,E09000023,Lewisham,117088,40
Rushey Green,E05000451,178.52400,0.00000,E09000023,Lewisham,117090,103
Catford South,E05000440,186.65500,0.00000,E09000023,Lewisham,117091,35
Crofton Park,E05000441,171.96200,0.00000,E09000023,Lewisham,117100,24
Ladywell,E05000446,160.59800,0.00000,E09000023,Lewisham,117092,42
Lewisham Central,E05000448,206.20300,0.00000,E09000023,Lewisham,117093,115
Brockley,E05000439,168.18300,0.00000,E09000023,Lewisham,117095,119
New Cross,E05000449,181.11400,1.40700,E09000023,Lewisham,117097,40
Grove Park,E05000445,239.29100,0.00000,E09000023,Lewisham,117098,47
Lee Green,E05000447,179.84200,0.00000,E09000023,Lewisham,117099,56
Evelyn,E05000443,177.62000,15.38800,E09000023,Lewisham,117101,64
Middle Park and Sutcliffe,E05000224,329.14300,0.00000,E09000011,Greenwich,117371,48
Coldharbour and New Eltham,E05000217,254.93500,0.00000,E09000011,Greenwich,117370,30
Eltham South,E05000219,462.64100,0.00000,E09000011,Greenwich,117367,39
Shooters Hill,E05000227,377.07200,0.00000,E09000011,Greenwich,117368,30
Peninsula,E05000225,449.19400,107.25400,E09000011,Greenwich,117376,104
Woolwich Riverside,E05000230,326.10900,72.31700,E09000011,Greenwich,117378,59
Greenwich West,E05000222,279.23400,26.43100,E09000011,Greenwich,117369,85
Eltham West,E05000220,242.56400,0.00000,E09000011,Greenwich,117382,50
Blackheath Westcombe,E05000215,213.81500,0.00000,E09000011,Greenwich,117373,37
Kidbrooke with Hornfair,E05000223,237.45400,0.00000,E09000011,Greenwich,117374,42
Eltham North,E05000218,255.51200,0.00000,E09000011,Greenwich,117372,15
Charlton,E05000216,203.12000,0.00000,E09000011,Greenwich,117377,14
Woolwich Common,E05000229,262.03500,0.00000,E09000011,Greenwich,117375,65
Plumstead,E05000226,234.18900,0.00000,E09000011,Greenwich,117380,48
Glyndon,E05000221,170.19600,15.42000,E09000011,Greenwich,117379,30
Thamesmead Moorings,E05000228,481.25600,89.36200,E09000011,Greenwich,50872,35
Abbey Wood,E05000214,265.72100,0.00000,E09000011,Greenwich,117381,31
Longlands,E05000078,259.72300,0.00000,E09000004,Bexley,117119,16
Blackfen and Lamorbey,E05000066,168.55800,0.00000,E09000004,Bexley,117121,10
Cray Meadows,E05000072,719.03100,0.00000,E09000004,Bexley,117118,35
Sidcup,E05000083,270.34700,0.00000,E09000004,Bexley,117120,32
St. Mary's,E05000081,442.85300,0.00000,E09000004,Bexley,50888,31
Crayford,E05000071,397.22900,0.45100,E09000004,Bexley,117126,37
North End,E05000079,568.00100,122.84100,E09000004,Bexley,50918,7
Erith,E05000075,475.33300,131.16600,E09000004,Bexley,117129,37
Belvedere,E05000065,317.54900,30.44100,E09000004,Bexley,117130,24
Thamesmead East,E05000084,483.36900,85.72100,E09000004,Bexley,50862,20
Falconwood and Welling,E05000076,167.02600,0.00000,E09000004,Bexley,117122,29
East Wickham,E05000074,217.31300,0.00000,E09000004,Bexley,50877,25
Blendon and Penhill,E05000067,209.79000,0.00000,E09000004,Bexley,50890,41
Danson Park,E05000073,271.32400,0.00000,E09000004,Bexley,117123,52
Christchurch,E05000069,255.20700,0.00000,E09000004,Bexley,117124,62
St. Michael's,E05000082,144.81400,0.00000,E09000004,Bexley,50864,2
Brampton,E05000068,196.74600,0.00000,E09000004,Bexley,50883,23
Northumberland Heath,E05000080,175.28200,0.00000,E09000004,Bexley,117127,18
Barnehurst,E05000064,287.74000,0.00000,E09000004,Bexley,117125,25
Colyers,E05000070,164.39300,0.00000,E09000004,Bexley,117128,16
Lesnes Abbey,E05000077,237.01900,0.00000,E09000004,Bexley,117117,10
Chase,E05000195,1693.54100,0.00000,E09000010,Enfield,117071,69
Winchmore Hill,E05000213,276.07000,0.00000,E09000010,Enfield,117075,26
Cockfosters,E05000196,1041.27900,0.00000,E09000010,Enfield,117065,34
Highlands,E05000202,508.80300,0.00000,E09000010,Enfield,117068,16
Upper Edmonton,E05000212,264.24000,0.00000,E09000010,Enfield,117069,79
Palmers Green,E05000205,194.21200,0.00000,E09000010,Enfield,117074,73
Edmonton Green,E05000197,312.64200,0.00000,E09000010,Enfield,117076,93
Lower Edmonton,E05000204,218.24800,0.00000,E09000010,Enfield,117077,47
Grange,E05000200,328.51600,0.00000,E09000010,Enfield,117067,31
