TfL Reference (TADS area),Camera Head Reference,Borough,Easting,Northing,Speed limit,Location,Fixed Camera Type,Site monitoring start date,Collisions;Fatal;1990,Collisions;Serious;1990,Collisions;Slight;1990,Collisions;Fatal;1991,Collisions;Serious;1991,Collisions;Slight;1991,Collisions;Fatal;1992,Collisions;Serious;1992,Collisions;Slight;1992,Collisions;Fatal;1993,Collisions;Serious;1993,Collisions;Slight;1993,Collisions;Fatal;1994,Collisions;Serious;1994,Collisions;Slight;1994,Collisions;Fatal;1995,Collisions;Serious;1995,Collisions;Slight;1995,Collisions;Fatal;1996,Collisions;Serious;1996,Collisions;Slight;1996,Collisions;Fatal;1997,Collisions;Serious;1997,Collisions;Slight;1997,Collisions;Fatal;1998,Collisions;Serious;1998,Collisions;Slight;1998,Collisions;Fatal;1999,Collisions;Serious;1999,Collisions;Slight;1999,Collisions;Fatal;2000,Collisions;Serious;2000,Collisions;Slight;2000,Collisions;Fatal;2001,Collisions;Serious;2001,Collisions;Slight;2001,Collisions;Fatal;2002,Collisions;Serious;2002,Collisions;Slight;2002,Collisions;Fatal;2003,Collisions;Serious;2003,Collisions;Slight;2003,Collisions;Fatal;2004,Collisions;Serious;2004,Collisions;Slight;2004,Collisions;Fatal;2005,Collisions;Serious;2005,Collisions;Slight;2005,Collisions;Fatal;2006,Collisions;Serious;2006,Collisions;Slight;2006,Collisions;Fatal;2007,Collisions;Serious;2007,Collisions;Slight;2007,Collisions;Fatal;2008,Collisions;Serious;2008,Collisions;Slight;2008,Collisions;Fatal;2009,Collisions;Serious;2009,Collisions;Slight;2009,Collisions;Fatal;2010,Collisions;Serious;2010,Collisions;Slight;2010,Collisions;Fatal;2011,Collisions;Serious;2011,Collisions;Slight;2011,Collisions;Fatal;2012,Collisions;Serious;2012,Collisions;Slight;2012,Casualties;Fatal;1990,Casualties;Serious;1990,Casualties;Slight;1990,Casualties;Fatal;1991,Casualties;Serious;1991,Casualties;Slight;1991,Casualties;Fatal;1992,Casualties;Serious;1992,Casualties;Slight;1992,Casualties;Fatal;1993,Casualties;Serious;1993,Casualties;Slight;1993,Casualties;Fatal;1994,Casualties;Serious;1994,Casualties;Slight;1994,Casualties;Fatal;1995,Casualties;Serious;1995,Casualties;Slight;1995,Casualties;Fatal;1996,Casualties;Serious;1996,Casualties;Slight;1996,Casualties;Fatal;1997,Casualties;Serious;1997,Casualties;Slight;1997,Casualties;Fatal;1998,Casualties;Serious;1998,Casualties;Slight;1998,Casualties;Fatal;1999,Casualties;Serious;1999,Casualties;Slight;1999,Casualties;Fatal;2000,Casualties;Serious;2000,Casualties;Slight;2000,Casualties;Fatal;2001,Casualties;Serious;2001,Casualties;Slight;2001,Casualties;Fatal;2002,Casualties;Serious;2002,Casualties;Slight;2002,Casualties;Fatal;2003,Casualties;Serious;2003,Casualties;Slight;2003,Casualties;Fatal;2004,Casualties;Serious;2004,Casualties;Slight;2004,Casualties;Fatal;2005,Casualties;Serious;2005,Casualties;Slight;2005,Casualties;Fatal;2006,Casualties;Serious;2006,Casualties;Slight;2006,Casualties;Fatal;2007,Casualties;Serious;2007,Casualties;Slight;2007,Casualties;Fatal;2008,Casualties;Serious;2008,Casualties;Slight;2008,Casualties;Fatal;2009,Casualties;Serious;2009,Casualties;Slight;2009,Casualties;Fatal;2010,Casualties;Serious;2010,Casualties;Slight;2010,Casualties;Fatal;2011,Casualties;Serious;2011,Casualties;Slight;2011,Casualties;Fatal;2012,Casualties;Serious;2012,Casualties;Slight;2012
CR-B-16012,16/802013,Barking,547752,186619,30mph,-  Valence Avenue  -  Becontree Avenue,Red Light,01/09/1994,0,2,5,0,3,3,0,0,6,0,1,6,0,2,3,0,1,7,0,0,5,0,0,2,0,0,1,0,0,1,0,0,1,0,1,2,0,0,2,0,0,1,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,2,6,0,4,9,0,0,8,0,1,6,0,3,4,0,1,9,0,0,6,0,0,3,0,0,2,0,0,1,0,0,1,0,2,3,0,0,2,0,0,1,1,0,1,0,0,6,0,0,0,0,0,2,0,0,1,0,0,2,0,0,4,0,0,1,0,0,3
CR-B-16011,16/802014,Barking,545310,185088,30mph,A124  Longbridge Road  -  Upney Lane,Red Light,01/09/1994,0,2,7,0,0,6,0,4,6,0,1,8,0,0,9,0,1,7,0,1,8,0,1,5,0,3,10,1,0,8,0,1,6,0,2,3,0,2,10,0,4,7,0,0,10,0,0,3,0,1,6,0,0,4,0,0,4,0,0,4,0,0,5,0,0,4,0,1,2,0,4,11,0,0,7,0,4,8,0,1,12,0,0,11,0,1,9,0,1,17,0,1,8,0,3,14,1,0,10,0,1,10,0,2,3,0,2,10,0,6,12,0,0,13,0,0,3,0,1,7,0,0,4,0,0,5,0,0,4,0,0,5,0,0,4,0,1,7
CR-B-16005,16/802015,Barking,549067,184517,20mph,A1240  Heathway  -  Church Elm Lane,Red Light,01/10/1994,0,1,5,0,1,3,0,1,6,0,1,5,0,0,6,0,1,3,0,1,4,0,1,3,0,0,7,0,0,7,0,1,2,0,0,4,0,0,4,0,1,3,0,0,3,0,0,2,0,1,3,0,0,1,0,1,5,0,0,5,0,0,1,0,0,2,0,0,0,0,1,6,0,1,3,0,1,7,0,1,7,0,0,6,0,1,4,0,1,4,0,2,5,0,0,9,0,0,7,0,1,2,0,0,4,0,0,4,0,1,6,0,0,4,0,0,2,0,1,3,0,0,1,0,1,5,0,0,5,0,0,2,0,0,2,0,0,0
CRTH-16003,16/802016,Barking,548860,183545,30mph,A1306  Ripple Road  -  Merrielands Crescent,Red Light,01/07/1995,0,3,10,0,0,5,0,1,5,0,0,6,0,0,8,0,2,3,0,3,7,0,2,3,0,2,3,0,0,2,0,3,7,0,1,8,1,0,2,0,0,1,0,0,1,0,0,3,0,0,5,0,1,1,0,0,1,0,1,1,0,0,4,0,0,2,0,0,5,0,3,16,0,0,15,0,1,11,0,0,8,0,0,12,0,2,5,0,3,8,0,3,7,0,2,5,0,0,3,0,4,11,0,1,13,1,1,3,0,0,1,0,0,1,0,0,4,0,0,6,0,1,3,0,0,1,0,1,2,0,0,4,0,0,3,0,0,10
CR-B-16008,16/802019,Barking,548987,185794,30mph,A1240  Heathway  -  Oxlow Lane,Red Light,01/03/1996,0,2,1,0,0,3,0,1,4,0,2,7,0,1,3,0,2,4,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,3,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,2,4,0,0,3,0,1,5,0,3,11,0,1,6,0,3,8,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,5,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2
CRTH-16007,16/802024,Barking,547002,183623,40mph,A13  Ripple Road  -  Renwick Road,Red Light,01/06/1997,0,0,1,0,1,4,0,0,2,1,0,5,1,0,2,1,0,5,1,1,2,0,0,5,0,0,1,0,0,6,0,0,4,0,1,5,0,1,5,0,3,5,0,1,6,0,0,7,0,1,6,0,0,9,0,0,6,0,1,5,0,0,2,0,0,8,1,0,2,0,0,1,0,1,6,0,0,2,1,0,9,1,0,2,1,1,8,1,2,4,0,0,5,0,0,1,0,0,8,0,0,6,0,1,6,0,1,9,0,3,8,0,1,7,0,0,8,0,1,6,0,0,11,0,0,6,0,1,10,0,0,2,0,0,12,1,0,3
CS-B-16001,16/702535,Barking,550046,184204,30mph,B178  Ballards Road  south of Boleyn Gardens,Speed Camera,01/03/1997,0,1,3,0,3,3,1,0,1,0,0,3,0,1,11,0,1,7,0,0,7,0,0,2,0,0,5,0,0,3,0,0,3,0,3,3,0,0,4,0,1,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4,0,1,4,0,3,3,1,0,1,0,0,8,0,1,13,0,1,8,0,0,8,0,0,2,0,0,7,0,0,5,0,0,3,0,3,3,0,0,4,0,1,2,0,0,3,0,0,4,0,0,2,0,0,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,5
CS-B-16006,16/702540,Barking,550677,184245,30mph,Rainham Road South By Canberra Crescent E B (Omni) E+W ,Speed Camera,01/09/1997,0,4,9,0,1,5,0,0,4,0,2,6,0,1,0,0,2,3,0,3,12,0,0,6,0,1,3,0,2,4,0,0,2,1,0,3,1,1,0,0,0,4,0,1,2,0,0,1,0,0,0,1,0,2,0,1,2,0,0,1,0,1,1,0,0,2,0,0,6,0,5,11,0,1,6,0,0,4,0,3,6,0,1,0,0,3,3,0,3,14,0,0,7,0,1,4,0,2,6,0,0,4,1,3,4,1,1,0,0,0,6,0,1,3,0,0,2,0,0,0,1,0,2,0,1,4,0,0,1,0,1,3,0,0,2,0,0,6
CS-B-16006,16/702541,Barking,550677,184245,30mph,A1112  Rainham Road South  jw Canberra Crescent,Speed Camera,01/09/1997,0,4,9,0,1,5,0,0,4,0,2,6,0,1,0,0,2,3,0,3,12,0,0,6,0,1,3,0,2,4,0,0,2,1,0,3,1,1,0,0,0,4,0,1,2,0,0,1,0,0,0,1,0,2,0,1,2,0,0,1,0,1,1,0,0,2,0,0,6,0,5,11,0,1,6,0,0,4,0,3,6,0,1,0,0,3,3,0,3,14,0,0,7,0,1,4,0,2,6,0,0,4,1,3,4,1,1,0,0,0,6,0,1,3,0,0,2,0,0,0,1,0,2,0,1,4,0,0,1,0,1,3,0,0,2,0,0,6
CSTH-16002,16/702545,Barking,549292,183517,30mph,A1306 New Road By South Close,Speed Camera,01/02/1998,0,1,4,0,2,2,0,1,2,0,0,3,0,4,5,1,0,6,0,2,4,0,0,2,0,0,6,0,0,9,1,0,5,0,1,2,0,0,2,0,0,2,0,0,4,0,0,3,0,0,2,1,1,3,0,1,5,0,0,1,0,0,2,0,0,0,0,0,2,0,1,4,0,2,2,0,2,2,0,0,4,0,5,8,1,0,7,0,2,5,0,0,2,0,0,9,0,0,15,1,2,9,0,1,5,0,0,2,0,0,2,0,0,6,0,0,3,0,0,2,1,1,5,0,1,5,0,0,1,0,0,2,0,0,0,0,0,3
CSL--17022,16/702610,Barking,543476,184240,50mph,A406  North Circular Road  near A124 Slip Road,Speed Camera,01/12/2003,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,2,0,0,1,0,1,8,0,0,2,1,1,6,0,1,5,0,0,3,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,2,0,0,4,0,0,3,0,0,2,0,1,11,0,0,3,1,1,9,0,1,7,0,0,4,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,8
CSLD-16015,16/709434,Barking,548614,186874,30mph,Green Lane By Tenterden Road eb,Speed Camera,01/10/2007,0,11,19,0,5,14,0,4,23,0,4,17,0,3,20,0,2,19,0,2,19,0,9,23,0,4,16,0,6,19,0,2,20,0,2,15,0,3,17,1,2,13,0,5,12,0,1,19,1,2,18,0,1,9,0,1,9,0,0,12,0,1,11,0,0,12,0,0,6,0,12,30,0,6,19,0,6,32,0,6,23,0,3,25,0,3,24,0,3,21,0,10,29,0,5,20,0,6,22,0,2,25,0,2,18,0,3,20,1,3,17,0,5,18,0,1,28,1,2,22,0,1,15,0,1,10,0,0,14,0,1,13,0,0,16,0,0,9
CSLD-16014,16/709435,Barking,545813,185445,30mph,Longbridge Road By Malvern Drive North-East Bound (Dual System,Speed Camera,01/10/2007,1,2,3,0,0,5,0,1,5,0,1,4,1,2,6,1,1,4,0,3,12,1,3,6,0,1,6,0,0,7,0,2,8,0,0,4,0,1,3,0,2,10,1,0,9,1,2,5,0,0,5,0,0,6,0,0,3,0,1,2,0,1,4,0,1,8,0,1,5,1,2,5,0,0,5,0,1,6,0,1,6,2,4,6,1,1,5,0,3,14,1,5,9,0,1,8,0,0,8,0,2,8,0,0,4,0,1,3,0,2,12,1,0,11,1,2,7,0,0,9,0,0,6,0,0,4,0,2,7,0,1,4,0,1,9,0,1,6
XMON_A13_TIME-DIST,16/739514,Barking,545056,183264,50mph,"A13 Alfreds Way By Movers Lane Easbound Off Slip To Movers
E14",Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739515,Barking,545526,183414,50mph,A13 Alfreds Way By Movers Lane Easbound On Slip From Movers (E15),Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739516,Barking,545660,183457,50mph,A13 Alfreds Way By By Saxham Road E16a,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739519,Barking,547735,183584,50mph,A13 Ripple Road By Gale Street,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739523,Barking,548427,183522,50mph,"A13 Thames Gateway By Ripple Rd By Cook Rd Easbound Off
Slip To Goresbrook",Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739524,Barking,548608,183316,50mph,A13 Thames Gateway On-Slip From Goresbrook,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739525,Barking,549335,182780,50mph,A13 Thames Gateway By Kent Avenue Exit E Bnd,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739526,Barking,549432,182770,50mph,A13 Thames Gateway By Kent Avenue Exit W Bnd,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739527,Barking,548518,183333,50mph,A13 Thames Gateway By Pooles Lane Westbound Off Slip,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739528,Barking,548303,183515,50mph,A13 Ripple Road By Morrison Road Westbound Off Slip,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739529,Barking,547830,183553,50mph,A13 Ripple Road By Scrattons Terrace Exit,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739534,Barking,545649,183421,50mph,A13 Ripple Road By Maud Gardens (W5a),Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739535,Barking,545463,183339,50mph,A13 Ripple Road By River Road Eastbound Off Slip,Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
XMON_A13_TIME-DIST,16/739536,Barking,545014,183211,50mph,A13 Ripple Road By Westminster Gardens Westbound On Slip (W11),Average Speed Camera,01/02/2011,9,36,144,5,41,165,2,33,157,3,33,175,2,22,166,1,34,137,4,37,154,3,38,171,3,40,181,2,23,207,1,40,235,4,34,201,3,18,158,4,26,146,2,28,138,1,15,156,2,12,173,1,13,125,0,11,155,1,10,110,3,13,127,0,6,144,1,11,122,9,39,199,6,48,213,2,39,213,3,42,242,2,28,238,1,41,182,4,46,196,3,43,227,3,48,251,2,29,274,1,46,351,4,41,293,3,20,202,4,31,209,2,33,178,1,15,212,2,14,216,1,15,157,0,12,201,1,10,159,3,16,178,0,7,198,1,12,187
CRTH-30025,30/807001,Barnet,524765,189424,40mph,A406  North Circular Road  A598  Regents Park Road,Red Light,01/12/1992,0,3,11,0,1,6,0,1,15,0,2,19,0,0,8,1,5,9,0,1,11,0,2,7,0,2,13,0,3,11,0,3,16,0,2,15,0,1,17,1,2,20,1,0,9,0,0,9,0,1,5,1,2,8,0,0,7,0,2,17,0,2,15,0,2,29,0,0,9,0,3,13,0,1,7,0,2,25,0,2,25,0,0,18,1,7,12,0,1,11,0,2,11,0,2,18,0,3,18,0,3,21,0,2,21,0,1,25,1,2,29,1,0,14,0,0,10,0,1,5,1,2,10,0,0,9,0,2,25,0,3,25,0,2,38,0,0,9
CRTH-30021,30/807002,Barnet,524009,188444,40mph,A406  North Circular Road  A502  Golders Green Road,Red Light,01/07/1992,0,0,6,0,3,11,1,0,10,0,1,5,0,3,10,0,1,13,0,1,7,0,1,11,0,1,9,0,0,4,0,3,6,0,3,11,1,1,15,1,2,6,0,2,5,0,0,5,0,1,6,0,0,5,0,1,5,0,0,6,1,4,4,0,0,5,1,0,3,0,0,6,0,4,17,1,3,12,0,3,6,0,6,13,0,2,18,0,1,11,0,1,16,0,1,12,0,0,4,0,4,10,0,4,18,1,1,22,1,2,7,0,3,10,0,0,5,0,1,11,0,0,6,0,1,5,0,0,12,1,5,4,0,0,5,1,0,6
CRTT-30009,30/807003,Barnet,524420,186804,40mph,A41  Hendon Way  -  The Vale,Red Light,01/01/1996,0,3,9,0,3,6,0,1,4,0,1,8,0,1,6,0,0,2,0,1,5,0,0,4,0,2,5,0,2,3,1,4,4,0,0,4,1,2,4,0,0,7,0,1,10,0,0,2,0,1,0,0,1,4,0,0,2,0,0,6,1,1,3,0,0,7,0,0,1,0,3,18,0,3,9,0,1,6,0,1,10,0,1,8,0,0,3,0,1,7,0,0,5,0,2,5,0,2,4,1,4,11,0,0,5,1,3,7,0,0,8,0,1,14,0,0,2,0,1,1,0,1,9,0,0,2,0,0,10,1,1,4,0,0,10,0,0,1
CRTT-30018,30/807004,Barnet,524620,186290,40mph,A41  Hendon Way  A407  Cricklewood Lane,Red Light,01/03/1999,0,0,6,0,0,6,0,0,10,0,2,12,1,1,5,0,2,3,0,2,12,0,1,5,0,5,2,0,0,12,0,1,7,0,0,3,0,0,7,0,0,5,0,0,2,0,1,6,0,2,5,0,0,7,0,2,5,0,0,1,0,0,5,0,1,3,0,1,7,0,0,7,0,0,9,0,0,12,0,2,17,1,2,6,0,2,4,0,2,15,0,1,5,0,6,6,0,0,16,0,1,10,0,0,4,0,0,9,0,0,7,0,0,3,0,1,7,0,2,5,0,0,10,0,2,6,0,0,1,0,0,8,0,2,4,0,1,8
CRTT-30018,30/807005,Barnet,524632,186229,40mph,A41  Hendon Way  A407  Cricklewood Lane,Red Light,01/03/1999,0,0,6,0,0,6,0,0,10,0,2,12,1,1,5,0,2,3,0,2,12,0,1,5,0,5,2,0,0,12,0,1,7,0,0,3,0,0,7,0,0,5,0,0,2,0,1,6,0,2,5,0,0,7,0,2,5,0,0,1,0,0,5,0,1,3,0,1,7,0,0,7,0,0,9,0,0,12,0,2,17,1,2,6,0,2,4,0,2,15,0,1,5,0,6,6,0,0,16,0,1,10,0,0,4,0,0,9,0,0,7,0,0,3,0,1,7,0,2,5,0,0,10,0,2,6,0,0,1,0,0,8,0,2,4,0,1,8
CRTT-30009,30/807006,Barnet,524398,186985,40mph,A41  Hendon Way  -  The Vale,Red Light,01/01/1996,0,3,9,0,3,6,0,1,4,0,1,8,0,1,6,0,0,2,0,1,5,0,0,4,0,2,5,0,2,3,1,4,4,0,0,4,1,2,4,0,0,7,0,1,10,0,0,2,0,1,0,0,1,4,0,0,2,0,0,6,1,1,3,0,0,7,0,0,1,0,3,18,0,3,9,0,1,6,0,1,10,0,1,8,0,0,3,0,1,7,0,0,5,0,2,5,0,2,4,1,4,11,0,0,5,1,3,7,0,0,8,0,1,14,0,0,2,0,1,1,0,1,9,0,0,2,0,0,10,1,1,4,0,0,10,0,0,1
CRTT-30017,30/807007,Barnet,522932,188551,40mph,A41  Watford Way  B551  Queen's Road,Red Light,01/10/1995,1,1,12,0,4,7,0,2,10,0,3,9,0,2,9,0,2,6,0,1,13,0,3,3,0,1,12,0,1,4,0,1,9,0,3,6,0,1,7,0,0,7,0,0,2,0,1,4,0,2,4,0,0,4,0,0,3,0,0,7,0,0,8,0,1,9,0,2,6,1,2,12,0,4,12,0,2,12,0,3,12,0,2,10,0,2,7,0,1,18,0,3,3,0,1,13,0,1,5,0,1,9,0,3,6,0,1,10,0,0,7,0,0,3,0,1,5,0,2,6,0,0,4,0,0,3,0,0,8,0,0,11,0,1,16,0,3,9
CRTT-30017,30/807008,Barnet,522943,188614,40mph,A41  Watford Way  B551  Queen's Road,Red Light,01/10/1995,1,1,12,0,4,7,0,2,10,0,3,9,0,2,9,0,2,6,0,1,13,0,3,3,0,1,12,0,1,4,0,1,9,0,3,6,0,1,7,0,0,7,0,0,2,0,1,4,0,2,4,0,0,4,0,0,3,0,0,7,0,0,8,0,1,9,0,2,6,1,2,12,0,4,12,0,2,12,0,3,12,0,2,10,0,2,7,0,1,18,0,3,3,0,1,13,0,1,5,0,1,9,0,3,6,0,1,10,0,0,7,0,0,3,0,1,5,0,2,6,0,0,4,0,0,3,0,0,8,0,0,11,0,1,16,0,3,9
