TfL Reference (TADS area),Camera Head Reference,Borough,Easting,Northing,Speed limit,Location,Fixed Camera Type,Site monitoring start date,Collisions;Fatal;1990,Collisions;Serious;1990,Collisions;Slight;1990,Collisions;Fatal;1991,Collisions;Serious;1991,Collisions;Slight;1991,Collisions;Fatal;1992,Collisions;Serious;1992,Collisions;Slight;1992,Collisions;Fatal;1993,Collisions;Serious;1993,Collisions;Slight;1993,Collisions;Fatal;1994,Collisions;Serious;1994,Collisions;Slight;1994,Collisions;Fatal;1995,Collisions;Serious;1995,Collisions;Slight;1995,Collisions;Fatal;1996,Collisions;Serious;1996,Collisions;Slight;1996,Collisions;Fatal;1997,Collisions;Serious;1997,Collisions;Slight;1997,Collisions;Fatal;1998,Collisions;Serious;1998,Collisions;Slight;1998,Collisions;Fatal;1999,Collisions;Serious;1999,Collisions;Slight;1999,Collisions;Fatal;2000,Collisions;Serious;2000,Collisions;Slight;2000,Collisions;Fatal;2001,Collisions;Serious;2001,Collisions;Slight;2001,Collisions;Fatal;2002,Collisions;Serious;2002,Collisions;Slight;2002,Collisions;Fatal;2003,Collisions;Serious;2003,Collisions;Slight;2003,Collisions;Fatal;2004,Collisions;Serious;2004,Collisions;Slight;2004,Collisions;Fatal;2005,Collisions;Serious;2005,Collisions;Slight;2005,Collisions;Fatal;2006,Collisions;Serious;2006,Collisions;Slight;2006,Collisions;Fatal;2007,Collisions;Serious;2007,Collisions;Slight;2007,Collisions;Fatal;2008,Collisions;Serious;2008,Collisions;Slight;2008,Collisions;Fatal;2009,Collisions;Serious;2009,Collisions;Slight;2009,Collisions;Fatal;2010,Collisions;Serious;2010,Collisions;Slight;2010,Collisions;Fatal;2011,Collisions;Serious;2011,Collisions;Slight;2011,Collisions;Fatal;2012,Collisions;Serious;2012,Collisions;Slight;2012,Casualties;Fatal;1990,Casualties;Serious;1990,Casualties;Slight;1990,Casualties;Fatal;1991,Casualties;Serious;1991,Casualties;Slight;1991,Casualties;Fatal;1992,Casualties;Serious;1992,Casualties;Slight;1992,Casualties;Fatal;1993,Casualties;Serious;1993,Casualties;Slight;1993,Casualties;Fatal;1994,Casualties;Serious;1994,Casualties;Slight;1994,Casualties;Fatal;1995,Casualties;Serious;1995,Casualties;Slight;1995,Casualties;Fatal;1996,Casualties;Serious;1996,Casualties;Slight;1996,Casualties;Fatal;1997,Casualties;Serious;1997,Casualties;Slight;1997,Casualties;Fatal;1998,Casualties;Serious;1998,Casualties;Slight;1998,Casualties;Fatal;1999,Casualties;Serious;1999,Casualties;Slight;1999,Casualties;Fatal;2000,Casualties;Serious;2000,Casualties;Slight;2000,Casualties;Fatal;2001,Casualties;Serious;2001,Casualties;Slight;2001,Casualties;Fatal;2002,Casualties;Serious;2002,Casualties;Slight;2002,Casualties;Fatal;2003,Casualties;Serious;2003,Casualties;Slight;2003,Casualties;Fatal;2004,Casualties;Serious;2004,Casualties;Slight;2004,Casualties;Fatal;2005,Casualties;Serious;2005,Casualties;Slight;2005,Casualties;Fatal;2006,Casualties;Serious;2006,Casualties;Slight;2006,Casualties;Fatal;2007,Casualties;Serious;2007,Casualties;Slight;2007,Casualties;Fatal;2008,Casualties;Serious;2008,Casualties;Slight;2008,Casualties;Fatal;2009,Casualties;Serious;2009,Casualties;Slight;2009,Casualties;Fatal;2010,Casualties;Serious;2010,Casualties;Slight;2010,Casualties;Fatal;2011,Casualties;Serious;2011,Casualties;Slight;2011,Casualties;Fatal;2012,Casualties;Serious;2012,Casualties;Slight;2012
CS-B-20036,20/704482,Croydon,532546,163731,30mph,Brighton Road By Jarvis Road N B (Omni) N+S ,Speed Camera,01/12/2000,0,0,8,1,2,11,0,2,4,0,1,12,0,0,13,0,2,7,0,1,15,0,1,11,0,1,14,0,1,5,0,2,4,0,0,7,0,2,4,0,1,6,0,2,10,0,2,6,0,1,6,0,1,8,0,2,6,0,1,8,0,1,7,0,0,9,0,0,7,0,0,8,1,2,15,0,2,4,0,1,13,0,0,15,0,2,8,0,1,19,0,1,11,0,1,16,0,1,6,0,2,6,0,0,7,0,2,5,0,1,7,0,2,14,0,2,10,0,1,6,0,1,11,0,2,7,0,1,14,0,1,8,0,0,12,0,0,8
CS-B-20036,20/704483,Croydon,532546,163731,30mph,A235  Brighton Road  south of Jarvis Road,Speed Camera,01/12/2000,0,0,8,1,2,11,0,2,4,0,1,12,0,0,13,0,2,7,0,1,15,0,1,11,0,1,14,0,1,5,0,2,4,0,0,7,0,2,4,0,1,6,0,2,10,0,2,6,0,1,6,0,1,8,0,2,6,0,1,8,0,1,7,0,0,9,0,0,7,0,0,8,1,2,15,0,2,4,0,1,13,0,0,15,0,2,8,0,1,19,0,1,11,0,1,16,0,1,6,0,2,6,0,0,7,0,2,5,0,1,7,0,2,14,0,2,10,0,1,6,0,1,11,0,2,7,0,1,14,0,1,8,0,0,12,0,0,8
CS-B-20037,20/704484,Croydon,535454,161742,30mph,  Old Farleigh Road north of Birdwood Close,Speed Camera,01/12/2000,0,1,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,0,0,3,0,1,2,0,1,3,0,1,1,0,0,1,0,0,4,0,0,3,0,0,0,0,0,1,0,1,2,0,0,2,0,0,1,0,1,2,0,0,1,0,0,1,0,0,2,0,0,4,0,2,0,0,1,2,0,1,4,0,0,1,0,0,0,0,0,1,0,0,3,0,1,3,0,1,4,0,1,2,0,0,1,0,0,6,0,0,4,0,0,0,0,0,2,0,1,2,0,0,4,0,0,1,0,1,3,0,0,1,0,0,1,0,0,2,0,0,5
CS---20039,20/704494,Croydon,531849,170590,30mph,A215  Beulah Hill  by Norbury Hill (4494),Speed Camera,01/03/2002,1,1,5,0,1,8,0,1,4,0,0,5,0,0,6,0,1,5,0,2,13,0,2,6,1,0,10,0,1,6,0,0,7,0,1,1,0,1,6,1,1,3,0,1,5,0,1,3,0,2,6,0,1,4,0,0,6,1,0,2,0,0,4,0,0,4,0,0,2,1,1,5,0,1,8,0,1,5,0,0,5,0,0,6,0,1,6,0,2,14,0,2,6,2,1,12,0,1,8,0,0,7,0,1,2,0,1,12,1,1,4,0,1,6,0,1,3,0,2,13,0,1,5,0,0,6,1,0,2,0,0,5,0,0,5,0,0,2
CS---20039,20/704495,Croydon,531849,170590,30mph,A215  Beulah Hill  near Norbury Hill,Speed Camera,01/03/2002,1,1,5,0,1,8,0,1,4,0,0,5,0,0,6,0,1,5,0,2,13,0,2,6,1,0,10,0,1,6,0,0,7,0,1,1,0,1,6,1,1,3,0,1,5,0,1,3,0,2,6,0,1,4,0,0,6,1,0,2,0,0,4,0,0,4,0,0,2,1,1,5,0,1,8,0,1,5,0,0,5,0,0,6,0,1,6,0,2,14,0,2,6,2,1,12,0,1,8,0,0,7,0,1,2,0,1,12,1,1,4,0,1,6,0,1,3,0,2,13,0,1,5,0,0,6,1,0,2,0,0,5,0,0,5,0,0,2
CS---20038,20/704496,Croydon,531974,168169,30mph,B266  Brigstock Road  east of Quadrant Road,Speed Camera,01/03/2002,0,1,2,0,2,2,0,0,3,0,2,8,0,2,5,0,1,6,0,0,4,0,1,4,0,2,7,0,2,7,0,1,3,0,0,2,0,0,2,0,1,5,0,0,6,0,2,3,0,0,3,0,1,3,0,0,0,0,1,0,0,0,3,0,0,3,0,0,1,0,1,3,0,2,2,0,0,3,0,2,8,0,2,10,0,1,9,0,0,4,0,1,5,0,2,8,0,2,10,0,1,7,0,0,2,0,0,2,0,1,6,0,0,7,0,2,3,0,0,3,0,1,3,0,0,0,0,1,0,0,0,3,0,0,3,0,0,1
CSL--20003,20/704505,Croydon,534058,166222,30mph,A222  Lower Addiscombe Road  opposite Inglis Road,Speed Camera,01/04/2005,2,2,8,0,1,8,0,3,9,0,1,6,0,0,12,1,0,6,0,2,9,0,0,8,0,1,13,0,2,12,0,0,8,0,3,8,0,2,9,0,0,7,0,0,10,0,0,5,0,1,7,0,1,1,0,1,3,0,0,8,0,1,8,0,1,5,0,1,4,2,2,9,0,1,8,0,3,17,0,2,8,0,0,16,1,0,7,0,2,10,0,0,9,0,1,16,0,2,16,0,0,9,0,3,14,0,2,14,0,0,7,0,0,11,0,0,5,0,1,7,0,1,1,0,1,5,0,0,12,0,1,8,0,1,5,0,1,4
CSL--20001,20/704506,Croydon,534695,161934,30mph,A2022  Addington Road  opposite Mountwood Close,Speed Camera,01/04/2005,0,2,10,0,4,8,0,2,6,0,1,3,0,0,3,0,0,3,0,2,4,0,0,10,0,3,4,0,1,3,0,2,1,0,4,6,0,2,1,0,1,6,0,0,5,0,0,2,0,0,6,0,2,4,1,0,3,0,0,2,0,0,3,0,0,4,0,0,4,0,2,13,0,4,9,0,2,12,0,3,4,0,0,3,0,0,5,0,2,5,0,0,12,0,3,6,0,1,6,0,2,2,0,4,9,0,2,1,0,1,10,0,0,7,0,0,4,0,0,6,0,2,6,1,0,4,0,0,2,0,0,3,0,0,8,0,0,4
CSL--20010,20/704516,Croydon,533196,167808,30mph,A213  Selhurst Road  by Prince Road,Speed Camera,01/04/2005,0,3,7,0,3,5,0,1,8,1,1,7,0,0,13,0,0,9,0,1,6,0,1,14,1,2,8,0,1,9,0,3,1,0,1,9,0,2,11,0,1,3,0,0,9,0,0,8,0,0,6,0,4,4,0,0,6,0,1,7,0,1,3,0,2,3,0,1,5,0,3,7,0,3,7,0,1,10,1,1,8,0,0,18,0,0,11,0,1,7,0,1,18,1,2,8,0,2,9,0,3,5,0,1,10,0,2,22,0,1,4,0,0,12,0,0,11,0,0,8,0,4,6,0,0,6,0,1,10,0,1,4,0,2,3,0,1,5
CSL--20012,20/704517,Croydon,533791,167804,30mph,    Tennison Rd  west of Davidson Rd,Speed Camera,01/05/2005,0,0,3,0,0,3,0,1,0,0,0,1,0,0,2,0,0,3,0,0,2,0,1,2,0,0,2,0,1,3,0,1,2,0,3,2,0,1,0,0,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,4,0,1,0,0,0,1,0,0,2,0,0,3,0,0,4,0,1,2,0,0,2,0,1,4,0,1,3,0,3,3,0,1,0,0,1,4,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
CSL--20002,20/704518,Croydon,534574,167835,30mph,A215  Portland Road  by Enmore Road,Speed Camera,01/01/2005,0,3,18,0,4,12,0,1,12,0,2,14,1,1,14,0,2,10,0,3,7,0,4,12,1,0,19,0,1,20,0,0,21,1,1,13,0,5,13,1,3,17,0,5,15,0,0,11,0,0,6,0,0,7,0,1,11,0,0,3,0,1,7,0,1,10,0,3,6,0,3,20,0,5,17,0,1,12,0,2,15,1,1,16,0,2,10,0,3,7,0,5,13,1,0,22,0,1,21,0,0,27,1,1,21,0,5,13,1,5,22,0,6,16,0,0,14,0,0,8,0,0,8,0,1,11,0,0,3,0,1,8,0,1,11,0,3,7
CSL--20002,20/704519,Croydon,534424,168120,30mph,A215  Portland Road  by Harrington Road,Speed Camera,01/01/2005,0,3,18,0,4,12,0,1,12,0,2,14,1,1,14,0,2,10,0,3,7,0,4,12,1,0,19,0,1,20,0,0,21,1,1,13,0,5,13,1,3,17,0,5,15,0,0,11,0,0,6,0,0,7,0,1,11,0,0,3,0,1,7,0,1,10,0,3,6,0,3,20,0,5,17,0,1,12,0,2,15,1,1,16,0,2,10,0,3,7,0,5,13,1,0,22,0,1,21,0,0,27,1,1,21,0,5,13,1,5,22,0,6,16,0,0,14,0,0,8,0,0,8,0,1,11,0,0,3,0,1,8,0,1,11,0,3,7
CSLD-20015,20/709807,Croydon,534548,162092,30mph,Farley Road By Littleheath Road,Speed Camera,01/05/2006,0,0,4,0,1,4,0,2,1,0,2,2,0,0,11,0,0,2,0,0,4,0,3,4,0,1,1,0,1,10,0,0,3,0,0,5,0,1,6,0,1,3,0,2,3,0,0,5,1,0,2,0,0,2,0,0,1,0,1,4,0,0,1,0,1,1,0,1,2,0,0,5,0,1,4,0,2,1,0,2,3,0,0,13,0,0,3,0,0,5,0,3,4,0,1,1,0,1,10,0,0,4,0,0,6,0,1,9,0,2,7,0,2,7,0,0,7,1,1,7,0,0,2,0,0,1,0,1,4,0,0,2,0,1,2,0,1,3
CSLD-20016,20/709808,Croydon,533078,160745,30mph,Mitchley Avenue By Copthorne Rise,Speed Camera,01/05/2006,0,2,11,0,0,5,0,1,4,0,1,6,0,0,6,0,2,5,0,0,7,0,0,9,0,1,4,0,0,6,0,0,8,0,2,5,0,2,2,0,0,5,0,0,6,0,1,2,0,0,1,0,0,4,0,0,3,0,0,1,0,1,1,0,0,4,0,0,3,0,2,17,0,0,6,0,1,8,0,1,7,0,0,10,0,2,8,0,0,8,0,0,12,0,1,4,0,0,7,0,0,13,0,2,9,0,2,2,0,0,6,0,0,7,0,1,3,0,0,1,0,0,6,0,0,3,0,0,2,0,1,1,0,0,7,0,0,3
CSLD-20017,20/709817,Croydon,532840,169994,30mph,Beulah Hill By Spa Hill,Speed Camera,01/05/2006,0,2,6,0,4,11,0,0,7,0,1,7,0,0,7,0,0,8,0,0,9,0,3,5,0,2,5,0,1,8,1,1,5,0,0,7,0,2,6,0,3,2,0,0,7,0,0,5,0,2,3,0,1,4,0,0,5,0,1,4,0,0,3,0,1,3,0,2,4,0,2,12,0,4,14,0,0,9,0,1,8,0,0,8,0,0,9,0,0,12,0,3,9,0,2,7,0,1,11,1,2,8,0,0,9,0,2,7,0,3,3,0,0,8,0,0,5,0,2,3,0,1,4,0,0,5,0,1,7,0,0,4,0,1,3,0,2,4
