NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,3
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,14
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,13
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,6
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,6
Greenford Broadway,E05000177,251.66900,0.00000,E09000009,Ealing,116746,14
North Greenford,E05000183,325.73700,0.00000,E09000009,Ealing,71036,2
Northfield,E05000182,154.01100,0.00000,E09000009,Ealing,50524,5
East Acton,E05000175,427.58800,0.00000,E09000009,Ealing,116749,12
Southall Broadway,E05000189,161.72500,0.00000,E09000009,Ealing,51091,22
Elthorne,E05000176,199.96300,0.00000,E09000009,Ealing,51087,9
Walpole,E05000192,146.59600,0.00000,E09000009,Ealing,51112,11
Lady Margaret,E05000181,154.18200,0.00000,E09000009,Ealing,50955,4
Northolt Mandeville,E05000184,275.66400,0.00000,E09000009,Ealing,51013,7
Hobbayne,E05000180,220.93700,0.00000,E09000009,Ealing,51086,3
Cleveland,E05000171,222.85600,0.00000,E09000009,Ealing,50521,9
Greenford Green,E05000178,338.47700,0.00000,E09000009,Ealing,116747,13
Perivale,E05000187,336.77500,0.00000,E09000009,Ealing,51106,5
Ealing Common,E05000174,214.10600,0.00000,E09000009,Ealing,51111,4
Ealing Broadway,E05000173,185.67600,0.00000,E09000009,Ealing,51110,11
South Acton,E05000188,171.92000,0.00000,E09000009,Ealing,51062,13
Southfield,E05000191,142.86900,0.00000,E09000009,Ealing,116748,4
Acton Central,E05000170,177.46300,0.00000,E09000009,Ealing,51060,7
Hanger Hill,E05000179,327.72400,0.00000,E09000009,Ealing,50522,4
Upminster,E05000323,2253.73600,0.00000,E09000016,Havering,116694,4
Rainham and Wennington,E05000318,1688.01000,154.28400,E09000016,Havering,50925,4
South Hornchurch,E05000321,687.31800,56.47900,E09000016,Havering,116695,5
Elm Park,E05000308,366.53500,0.00000,E09000016,Havering,116696,5
Brooklands,E05000306,420.26400,0.00000,E09000016,Havering,116702,12
Romford Town,E05000319,286.47300,0.00000,E09000016,Havering,116703,13
Mawneys,E05000316,304.26100,0.00000,E09000016,Havering,51287,6
Pettits,E05000317,395.45700,0.00000,E09000016,Havering,116708,5
Hacton,E05000311,246.54200,0.00000,E09000016,Havering,116704,1
St. Andrew's,E05000320,267.71200,0.00000,E09000016,Havering,116705,9
Emerson Park,E05000309,464.24300,0.00000,E09000016,Havering,116706,1
Squirrel's Heath,E05000322,265.14700,0.00000,E09000016,Havering,116697,2
Harold Wood,E05000312,758.97300,0.00000,E09000016,Havering,116699,2
Cranham,E05000307,655.50100,0.00000,E09000016,Havering,116707,2
Havering Park,E05000313,978.33000,0.00000,E09000016,Havering,116698,5
Heaton,E05000314,341.56400,0.00000,E09000016,Havering,116700,3
Gooshays,E05000310,775.89600,0.00000,E09000016,Havering,116701,5
Hylands,E05000315,289.77400,0.00000,E09000016,Havering,50930,4
Heathrow Villages,E05000331,2352.11700,0.00000,E09000017,Hillingdon,116716,6
Harefield,E05000330,1522.70400,0.00000,E09000017,Hillingdon,51039,1
West Drayton,E05000342,349.07000,0.00000,E09000017,Hillingdon,116720,3
Yiewsley,E05000345,402.25100,0.00000,E09000017,Hillingdon,116722,9
Uxbridge South,E05000341,311.44700,0.00000,E09000017,Hillingdon,116718,8
Brunel,E05000326,327.69100,0.00000,E09000017,Hillingdon,51033,9
Uxbridge North,E05000340,464.11800,0.00000,E09000017,Hillingdon,51032,13
Hillingdon East,E05000332,359.81200,0.00000,E09000017,Hillingdon,116723,3
Ickenham,E05000333,620.44200,0.00000,E09000017,Hillingdon,51031,2
West Ruislip,E05000343,438.74000,0.00000,E09000017,Hillingdon,51023,7
Northwood,E05000335,739.79400,0.00000,E09000017,Hillingdon,51029,2
South Ruislip,E05000338,741.79500,0.00000,E09000017,Hillingdon,116719,6
Manor,E05000334,197.41800,0.00000,E09000017,Hillingdon,51022,4
Eastcote and East Ruislip,E05000329,406.34100,0.00000,E09000017,Hillingdon,116724,2
Northwood Hills,E05000336,332.85400,0.00000,E09000017,Hillingdon,51028,3
Pinkwell,E05000337,274.83300,0.00000,E09000017,Hillingdon,116721,6
Botwell,E05000325,436.27700,0.00000,E09000017,Hillingdon,116717,14
Charville,E05000328,297.43300,0.00000,E09000017,Hillingdon,51098,2
Townfield,E05000339,349.83300,0.00000,E09000017,Hillingdon,51092,12
Barnhill,E05000324,211.82100,0.00000,E09000017,Hillingdon,51097,9
Yeading,E05000344,232.12600,0.00000,E09000017,Hillingdon,51090,2
Cavendish,E05000327,201.14500,0.00000,E09000017,Hillingdon,51021,1
Roxeth,E05000302,157.49200,0.00000,E09000015,Harrow,51083,7
Harrow on the Hill,E05000289,357.20900,0.00000,E09000015,Harrow,50518,6
Pinner,E05000297,327.74200,0.00000,E09000015,Harrow,51019,3
Pinner South,E05000298,234.56100,0.00000,E09000015,Harrow,51020,3
Greenhill,E05000288,174.49000,0.00000,E09000015,Harrow,51077,8
Headstone North,E05000292,329.63400,0.00000,E09000015,Harrow,51027,2
Marlborough,E05000296,164.66300,0.00000,E09000015,Harrow,51078,6
Harrow Weald,E05000290,458.97300,0.00000,E09000015,Harrow,51015,1
Stanmore Park,E05000303,445.92900,0.00000,E09000015,Harrow,50516,9
Canons,E05000286,562.63200,0.00000,E09000015,Harrow,116972,6
Rayners Lane,E05000300,152.97400,0.00000,E09000015,Harrow,50957,3
Roxbourne,E05000301,150.57600,0.00000,E09000015,Harrow,51082,3
West Harrow,E05000305,151.46200,0.00000,E09000015,Harrow,51026,1
Hatch End,E05000291,327.86600,0.00000,E09000015,Harrow,51014,4
Headstone South,E05000293,146.76400,0.00000,E09000015,Harrow,51080,6
Kenton West,E05000295,176.45600,0.00000,E09000015,Harrow,50514,6
Wealdstone,E05000304,119.59500,0.00000,E09000015,Harrow,51079,6
Belmont,E05000285,177.70400,0.00000,E09000015,Harrow,116973,5
Kenton East,E05000294,127.92600,0.00000,E09000015,Harrow,50511,7
Queensbury,E05000299,161.36400,0.00000,E09000015,Harrow,116974,5
Edgware,E05000287,140.31900,0.00000,E09000015,Harrow,116975,6
Northwick Park,E05000096,267.99100,0.00000,E09000005,Brent,51109,3
Wembley Central,E05000104,160.42400,0.00000,E09000005,Brent,51105,16
Preston,E05000097,238.82800,0.00000,E09000005,Brent,51071,14
Stonebridge,E05000100,405.06300,0.00000,E09000005,Brent,116943,9
Welsh Harp,E05000103,231.89700,0.00000,E09000005,Brent,116949,7
Barnhill,E05000086,297.90800,0.00000,E09000005,Brent,116945,8
Fryent,E05000090,265.93800,0.00000,E09000005,Brent,116950,14
Sudbury,E05000101,212.48000,0.00000,E09000005,Brent,116944,5
Alperton,E05000085,205.85300,0.00000,E09000005,Brent,51069,8
Kensal Green,E05000092,112.00800,0.00000,E09000005,Brent,116951,17
Harlesden,E05000091,111.37000,0.00000,E09000005,Brent,116952,11
Willesden Green,E05000105,154.80300,0.00000,E09000005,Brent,50490,13
