NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
West Thornton,E05000168,197.11700,0.00000,E09000008,Croydon,51197,51
Bensham Manor,E05000148,144.14700,0.00000,E09000008,Croydon,51145,18
Norbury,E05000158,251.81800,0.00000,E09000008,Croydon,51192,52
New Addington,E05000157,241.71000,0.00000,E09000008,Croydon,50901,10
Croham,E05000152,352.70500,0.00000,E09000008,Croydon,51331,21
Fieldway,E05000154,148.64900,0.00000,E09000008,Croydon,51261,5
Shirley,E05000163,280.54100,0.00000,E09000008,Croydon,116954,3
Selhurst,E05000161,227.30300,0.00000,E09000008,Croydon,51199,38
Ashburton,E05000147,271.17300,0.00000,E09000008,Croydon,51259,18
Woodside,E05000169,216.65100,0.00000,E09000008,Croydon,116956,12
Thornton Heath,E05000165,168.10700,0.00000,E09000008,Croydon,51232,35
Upper Norwood,E05000166,262.32800,0.00000,E09000008,Croydon,119328,32
South Norwood,E05000164,237.81700,0.00000,E09000008,Croydon,51146,30
Addiscombe,E05000146,158.80800,0.00000,E09000008,Croydon,51257,16
Darwin,E05000117,2903.96000,0.00000,E09000006,Bromley,117267,20
Hayes and Coney Hall,E05000119,1082.30600,0.00000,E09000006,Bromley,117271,24
Bromley Common and Keston,E05000108,830.82000,0.00000,E09000006,Bromley,50903,36
Chelsfield and Pratts Bottom,E05000110,1256.32000,0.00000,E09000006,Bromley,117270,36
Biggin Hill,E05000107,828.03900,0.00000,E09000006,Bromley,50896,14
West Wickham,E05000127,441.04700,0.00000,E09000006,Bromley,117268,28
Clock House,E05000112,226.64700,0.00000,E09000006,Bromley,117277,34
Kelsey and Eden Park,E05000120,519.89500,0.00000,E09000006,Bromley,117269,36
Farnborough and Crofton,E05000118,700.58400,0.00000,E09000006,Bromley,117272,26
Shortlands,E05000126,245.66500,0.00000,E09000006,Bromley,117276,20
Bromley Town,E05000109,371.65600,0.00000,E09000006,Bromley,117281,50
Bickley,E05000106,486.91300,0.00000,E09000006,Bromley,51335,24
Petts Wood and Knoll,E05000124,430.12700,0.00000,E09000006,Bromley,50912,23
Crystal Palace,E05000116,229.11400,0.00000,E09000006,Bromley,117275,33
Penge and Cator,E05000123,295.97200,0.00000,E09000006,Bromley,117278,43
Copers Cope,E05000113,328.69200,0.00000,E09000006,Bromley,117279,32
Plaistow and Sundridge,E05000125,400.09400,0.00000,E09000006,Bromley,51336,19
Chislehurst,E05000111,1044.12000,0.00000,E09000006,Bromley,50911,39
Mottingham and Chislehurst North,E05000121,244.18400,0.00000,E09000006,Bromley,51338,14
Orpington,E05000122,425.61600,0.00000,E09000006,Bromley,117280,42
Cray Valley West,E05000115,393.85000,0.00000,E09000006,Bromley,117273,43
