NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Crystal Palace,E05000116,229.11400,0.00000,E09000006,Bromley,117275,8
Penge and Cator,E05000123,295.97200,0.00000,E09000006,Bromley,117278,11
Copers Cope,E05000113,328.69200,0.00000,E09000006,Bromley,117279,10
Plaistow and Sundridge,E05000125,400.09400,0.00000,E09000006,Bromley,51336,9
Chislehurst,E05000111,1044.12000,0.00000,E09000006,Bromley,50911,7
Mottingham and Chislehurst North,E05000121,244.18400,0.00000,E09000006,Bromley,51338,4
Orpington,E05000122,425.61600,0.00000,E09000006,Bromley,117280,8
Cray Valley West,E05000115,393.85000,0.00000,E09000006,Bromley,117273,9
Cray Valley East,E05000114,1327.86600,0.00000,E09000006,Bromley,117274,3
Bedfont,E05000346,444.84100,0.00000,E09000018,Hounslow,51131,10
Hanworth,E05000353,323.25800,0.00000,E09000018,Hounslow,51122,9
Cranford,E05000350,272.63000,0.00000,E09000018,Hounslow,51125,17
Syon,E05000364,285.37800,13.18700,E09000018,Hounslow,117104,5
Heston West,E05000357,382.65700,0.00000,E09000018,Hounslow,51133,21
Heston East,E05000356,205.91300,0.00000,E09000018,Hounslow,117113,10
Osterley and Spring Grove,E05000363,627.78400,0.00000,E09000018,Hounslow,117103,10
Brentford,E05000347,318.35100,3.26300,E09000018,Hounslow,117105,21
Chiswick Homefields,E05000348,225.92300,22.28600,E09000018,Hounslow,117106,6
Feltham West,E05000352,318.10500,0.00000,E09000018,Hounslow,117107,3
Hanworth Park,E05000354,366.12600,0.00000,E09000018,Hounslow,51123,16
Feltham North,E05000351,338.44800,0.00000,E09000018,Hounslow,117102,13
Hounslow Heath,E05000359,278.17800,0.00000,E09000018,Hounslow,117108,5
Hounslow West,E05000361,162.01800,0.00000,E09000018,Hounslow,117109,7
Heston Central,E05000355,168.47800,0.00000,E09000018,Hounslow,117112,11
Hounslow South,E05000360,179.01100,0.00000,E09000018,Hounslow,117110,2
Isleworth,E05000362,203.08900,6.43600,E09000018,Hounslow,117111,2
Hounslow Central,E05000358,173.39300,0.00000,E09000018,Hounslow,117116,3
Chiswick Riverside,E05000349,208.00700,15.58400,E09000018,Hounslow,117114,5
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,12
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,3
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,4
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,19
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,6
Greenford Broadway,E05000177,251.66900,0.00000,E09000009,Ealing,116746,9
North Greenford,E05000183,325.73700,0.00000,E09000009,Ealing,71036,5
Northfield,E05000182,154.01100,0.00000,E09000009,Ealing,50524,2
East Acton,E05000175,427.58800,0.00000,E09000009,Ealing,116749,15
Southall Broadway,E05000189,161.72500,0.00000,E09000009,Ealing,51091,14
Elthorne,E05000176,199.96300,0.00000,E09000009,Ealing,51087,9
Walpole,E05000192,146.59600,0.00000,E09000009,Ealing,51112,11
Lady Margaret,E05000181,154.18200,0.00000,E09000009,Ealing,50955,7
Northolt Mandeville,E05000184,275.66400,0.00000,E09000009,Ealing,51013,12
Hobbayne,E05000180,220.93700,0.00000,E09000009,Ealing,51086,3
Cleveland,E05000171,222.85600,0.00000,E09000009,Ealing,50521,3
Greenford Green,E05000178,338.47700,0.00000,E09000009,Ealing,116747,16
Perivale,E05000187,336.77500,0.00000,E09000009,Ealing,51106,14
Ealing Common,E05000174,214.10600,0.00000,E09000009,Ealing,51111,7
Ealing Broadway,E05000173,185.67600,0.00000,E09000009,Ealing,51110,4
South Acton,E05000188,171.92000,0.00000,E09000009,Ealing,51062,8
Southfield,E05000191,142.86900,0.00000,E09000009,Ealing,116748,1
Acton Central,E05000170,177.46300,0.00000,E09000009,Ealing,51060,1
Hanger Hill,E05000179,327.72400,0.00000,E09000009,Ealing,50522,13
Upminster,E05000323,2253.73600,0.00000,E09000016,Havering,116694,6
Rainham and Wennington,E05000318,1688.01000,154.28400,E09000016,Havering,50925,8
South Hornchurch,E05000321,687.31800,56.47900,E09000016,Havering,116695,26
Elm Park,E05000308,366.53500,0.00000,E09000016,Havering,116696,5
Brooklands,E05000306,420.26400,0.00000,E09000016,Havering,116702,13
Romford Town,E05000319,286.47300,0.00000,E09000016,Havering,116703,30
Mawneys,E05000316,304.26100,0.00000,E09000016,Havering,51287,6
Pettits,E05000317,395.45700,0.00000,E09000016,Havering,116708,10
Hacton,E05000311,246.54200,0.00000,E09000016,Havering,116704,2
St. Andrew's,E05000320,267.71200,0.00000,E09000016,Havering,116705,15
Emerson Park,E05000309,464.24300,0.00000,E09000016,Havering,116706,7
Squirrel's Heath,E05000322,265.14700,0.00000,E09000016,Havering,116697,5
Harold Wood,E05000312,758.97300,0.00000,E09000016,Havering,116699,16
Cranham,E05000307,655.50100,0.00000,E09000016,Havering,116707,11
Havering Park,E05000313,978.33000,0.00000,E09000016,Havering,116698,11
Heaton,E05000314,341.56400,0.00000,E09000016,Havering,116700,6
Gooshays,E05000310,775.89600,0.00000,E09000016,Havering,116701,14
Hylands,E05000315,289.77400,0.00000,E09000016,Havering,50930,6
Heathrow Villages,E05000331,2352.11700,0.00000,E09000017,Hillingdon,116716,49
Harefield,E05000330,1522.70400,0.00000,E09000017,Hillingdon,51039,5
West Drayton,E05000342,349.07000,0.00000,E09000017,Hillingdon,116720,4
Yiewsley,E05000345,402.25100,0.00000,E09000017,Hillingdon,116722,12
Uxbridge South,E05000341,311.44700,0.00000,E09000017,Hillingdon,116718,9
Brunel,E05000326,327.69100,0.00000,E09000017,Hillingdon,51033,6
Uxbridge North,E05000340,464.11800,0.00000,E09000017,Hillingdon,51032,10
Hillingdon East,E05000332,359.81200,0.00000,E09000017,Hillingdon,116723,4
Ickenham,E05000333,620.44200,0.00000,E09000017,Hillingdon,51031,6
West Ruislip,E05000343,438.74000,0.00000,E09000017,Hillingdon,51023,2
